종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
120110,코오롱인더,KOSPI,화학,36550,-50,-0.14,1005822776050
150,두산,KOSPI,기타금융,137000,4100,3.09,2263765395000
24720,콜마홀딩스,KOSPI,기타금융,8250,20,0.24,303348540000
24720,콜마홀딩스,KOSPI,기타금융,8250,20,0.24,303348540000
4560,현대비앤지스틸,KOSPI,철강금속,20950,600,2.95,315901090450
10950,S-Oil,KOSPI,화학,76900,-500,-0.65,8657616704800
4980,성신양회,KOSPI,비금속광물,8450,30,0.36,207160816850
7070,GS리테일,KOSPI,유통업,19650,-130,-0.66,2057707167300
70,삼양홀딩스,KOSPI,기타금융,68100,-400,-0.58,583226855100
47810,한국항공우주,KOSPI,운수장비,52600,1300,2.53,5127190628200
85620,미래에셋생명,KOSPI,보험,5000,30,0.6,885080945000
35720,카카오,KOSPI,서비스업,48100,600,1.26,21416230964700
10060,OCI홀딩스,KOSPI,화학,94500,1200,1.29,1852791759000
60980,HL홀딩스,KOSPI,기타금융,33300,-150,-0.45,338641353000
352820,하이브,KOSPI,서비스업,211000,1000,0.48,8788592467000
89860,롯데렌탈,KOSPI,서비스업,26900,-200,-0.74,985456294700
11790,SKC,KOSPI,화학,113100,5300,4.92,4282904503800
11790,SKC,KOSPI,화학,113100,5300,4.92,4282904503800
47050,포스코인터내셔널,KOSPI,유통업,45600,800,1.79,8022079132800
138930,BNK금융지주,KOSPI,기타금융,8200,-70,-0.85,2641125191600
34220,LG디스플레이,KOSPI,전기전자,10240,110,1.09,5120000000000
3490,대한항공,KOSPI,운수창고업,20750,-50,-0.24,7640578715750
32640,LG유플러스,KOSPI,통신업,9780,30,0.31,4270059110580
9410,태영건설,KOSPI,건설업,2310,0,0.0,89856916380
96770,SK이노베이션,KOSPI,화학,110000,1600,1.48,10530914900000
55550,신한지주,KOSPI,기타금융,43300,-600,-1.37,22056726166200
323410,카카오뱅크,KOSPI,은행,24700,200,0.82,11779952083900
282330,BGF리테일,KOSPI,유통업,131900,1100,0.84,2279747201400
272550,삼양패키징,KOSPI,화학,16710,-680,-3.91,263828692410
336260,두산퓨얼셀,KOSPI,전기전자,18570,240,1.31,1216218491820
9150,삼성전기,KOSPI,전기전자,148000,4800,3.35,11054667008000
11070,LG이노텍,KOSPI,전기전자,209000,21800,11.65,4946425363000
11070,LG이노텍,KOSPI,전기전자,209000,21800,11.65,4946425363000
4540,깨끗한나라,KOSPI,종이목재,2210,40,1.84,82301931530
4170,신세계,KOSPI,유통업,162500,-1200,-0.73,1599841912500
3670,포스코퓨처엠,KOSPI,전기전자,297000,22000,8.0,23006576340000
71320,지역난방공사,KOSPI,전기가스업,41100,350,0.86,475886378400
10140,삼성중공업,KOSPI,운수장비,9640,10,0.1,8483200000000
990,DB하이텍,KOSPI,전기전자,40850,350,0.86,1813682319800
4360,세방,KOSPI,운수창고업,11770,20,0.17,227263281300
17670,SK텔레콤,KOSPI,통신업,51100,200,0.39,10975771708300
7310,오뚜기,KOSPI,음식료품,409000,-2000,-0.49,1639202470000
720,현대건설,KOSPI,건설업,34600,400,1.17,3852909469000
3550,LG,KOSPI,기타금융,79100,-100,-0.13,12442508546300
73240,금호타이어,KOSPI,화학,6490,70,1.09,1864319262630
298050,효성첨단소재,KOSPI,화학,338000,-2000,-0.59,1514222424000
18670,SK가스,KOSPI,유통업,158900,-1700,-1.06,1466685771600
370,한화손해보험,KOSPI,보험,4855,60,1.25,566767432325
145990,삼양사,KOSPI,음식료품,50200,650,1.31,517735139800
5090,SGC에너지,KOSPI,전기가스업,26400,1300,5.18,380406391200
4800,효성,KOSPI,기타금융,58300,-400,-0.68,1228440757500
14790,HL D&I,KOSPI,건설업,1975,3,0.15,74770736975
11210,현대위아,KOSPI,운수장비,57500,700,1.23,1563717272500
5850,에스엘,KOSPI,운수장비,31450,550,1.78,1460805954000
18880,한온시스템,KOSPI,기계,5220,70,1.36,2786436000000
161890,한국콜마,KOSPI,화학,48700,250,0.52,1149567249900
298020,효성티앤씨,KOSPI,화학,349000,-2500,-0.71,1510361018000
322000,HD현대에너지솔루션,KOSPI,전기전자,23400,-900,-3.7,262080000000
36570,엔씨소프트,KOSPI,서비스업,173600,3100,1.82,3811218219200
35250,강원랜드,KOSPI,서비스업,14940,70,0.47,3196271070000
51900,LG생활건강,KOSPI,화학,390500,-1500,-0.38,6098905928500
316140,우리금융지주,KOSPI,기타금융,14120,-80,-0.56,10485391994120
180640,한진칼,KOSPI,운수창고업,58400,400,0.69,3898917093600
18260,삼성에스디에스,KOSPI,서비스업,151500,-500,-0.33,11722736700000
9240,한샘,KOSPI,유통업,52000,-100,-0.19,1223764256000
